Course Name,Depts,Subject,Course Num,Title,Crs Cred Type ,Crs Min Cred ,Terms Offered
AFRST-102,AFRST,AFRST,102,BLACKNESS ACROSS DIASPORA,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
21/SP
20/FA
20/SP
19/FA
19/SP
18/FA
18/SP
17/FA"
AFRST-103,AFRST,AFRST,103,GEOL HUMAN EVENTS N. AFRICA,I,1,"22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA
14/FA
13/FA
12/FA
11/FA
96/FA
95/FA
94/FA"
AFRST-108W,AFRST,AFRST,108W,BLACK NOIR AND HORROR,I,1,"25/FA
24/FA
23/FA
22/FA"
AFRST-112W,AFRST,AFRST,112W,FUNDAMENTALS OF RACE,I,1,"25/FA
24/FA
23/FA
21/FA
20/FA
19/FA
18/FA
17/FA"
AFRST-113W,AFRST,AFRST,113W,THE CRIME NOVEL FROM THE GLOBAL SOUTH,I,1,"25/FA
24/FA"
AFRST-114,AFRST,AFRST,114,BLACK VOICES IN SONG,I,1,"25/SP
24/SP
23/SP
22/FA
22/SP
21/FA"
AFRST-130W,AFRST,AFRST,130W,BLACK SPACES,I,1,"21/FA
20/FA
19/FA
19/SP
18/FA
18/SP
17/FA"
AFRST-131W,AFRST,AFRST,131W,"REPRESENTATION, CULTURE AND POWER",I,1,"25/FA
24/FA
23/FA
22/FA"
AFRST-140,AFRST,AFRST,140,UNDERSTANDING CARIBBEAN CARNIVAL,I,1,"25/FA
24/FA
23/FA
21/SP
20/SP
19/SP
18/SP
17/SP
16/SP
15/SP
14/SP
13/SP
12/FA
11/FA
10/FA"
AFRST-160,AFRST,AFRST,160,HISTORY OF JAZZ TO THE 1950'S,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA
14/FA
13/FA
12/FA
11/FA
10/FA
10/SP
09/FA
08/FA
08/SP
07/FA
07/SP
06/FA
05/FA
05/SP
04/FA
04/SP
03/FA
03/SP
02/FA
02/SP
01/FA
01/SP
00/FA
00/SP
98/FA
98/SP
97/FA
96/FA
96/SP
95/FA
95/SP"
AFRST-162,AFRST,AFRST,162,AFRICAN-AMERICAN POPULAR MUSIC,I,1,"25/FA
24/FA
23/FA
22/FA"
AFRST-190W,AFRST,AFRST,190W,EXPLORING SOCIAL JUSTICE,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA
16/SP
15/FA
15/SP"
AFRST-201W,AFRST,AFRST,201W,DIVERSITY RECONSIDERED,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/SP
16/SP"
AFRST-203,AFRST,AFRST,203,AFRICAN AMERICAN HISTORY,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
22/FA
21/FA
20/FA
17/FA
16/FA
14/FA
12/SP
11/SP
10/FA
09/FA
08/FA
07/FA
06/FA
05/FA
04/FA
03/FA
02/FA
01/FA
00/FA
99/FA
98/FA
97/FA
96/FA
95/FA
94/FA
93/FA
88/FA"
AFRST-205,AFRST,AFRST,205,HAITI & THE CARIBBEAN,I,1,"19/SP
18/SP
17/SP"
AFRST-214,AFRST,AFRST,214,BLACK VOICES IN SONG,I,1,"25/SP
24/SP
23/SP
22/FA
22/SP
21/FA"
AFRST-215,AFRST,AFRST,215,GLOBAL RACE AND SPORT,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
18/FA
17/FA
16/FA
15/FA"
AFRST-215W,AFRST,AFRST,215W,GLOBAL RACE AND SPORT,I,1,"25/SP
24/SP
23/SP
22/SP
21/FA
21/SP
20/SP
19/FA
18/FA"
AFRST-216,AFRST,AFRST,216,CARIBBEAN LIT IN CRUCIBLE,I,1,"25/FA
25/SP
24/FA
23/FA
23/SP
22/SP
21/FA
20/FA
20/SP
19/SP
18/SP
16/FA
15/FA"
AFRST-218,AFRST,AFRST,218,POLITICS OF AFRICA,I,1,"20/SP
19/SP
18/SP
17/SP
16/FA
16/SP
15/FA
15/SP
14/SP
13/SP
12/SP
11/SP
10/SP
08/SP
07/SP
04/FA
04/SP
03/FA
03/SP
02/SP
99/FA
97/SP
96/SP
95/SP"
AFRST-220W,AFRST,AFRST,220W,IMAGINING AFRICA,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
20/FA
19/FA
18/FA
17/FA
16/FA"
AFRST-221W,AFRST,AFRST,221W,AFRICA IN DIASPORA,I,1,"23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/SP"
AFRST-222W,AFRST,AFRST,222W,"RACE, GENDER, & CULTURE",I,1,"21/FA
17/FA
16/FA
15/FA
14/FA
13/FA
12/FA
11/FA
10/FA
09/FA
08/FA
07/FA
06/FA
05/FA
04/FA
03/SP
02/SP
00/SP"
AFRST-223,AFRST,AFRST,223,BLACK FEMALE VOICES,I,1,"13/SP
12/SP
10/SP
09/SP"
AFRST-224W,AFRST,AFRST,224W,"GENDER,SPACE,IDENTITY AFRICAN DIASPORA",I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/SP
17/FA
16/FA
16/SP
15/SP"
AFRST-230W,AFRST,AFRST,230W,MAKING OF BLACK POLITICAL CULTURE,I,1,"15/FA
13/FA
12/FA
11/FA
10/FA
09/FA
08/FA
07/FA
06/FA
05/FA"
AFRST-231,AFRST,AFRST,231,INTRODUCTION TO AFRICAN DANCE,I,1,"25/SP
24/SP
23/SP"
AFRST-238,AFRST,AFRST,238,AFRICAN-AMERICAN THEATRE,I,1,"18/FA
17/FA
16/SP
15/SP
14/SP
13/SP
12/SP
10/SP
09/SP
07/SP
06/SP
02/FA
01/FA"
AFRST-239W,AFRST,AFRST,239W,ART & VISUAL CULTURE OF BLACK ATLANTIC,I,1,"25/FA
24/FA
23/FA"
AFRST-242W,AFRST,AFRST,242W,THE BLACK SELF,I,1,"23/SP
22/SP
21/SP
18/SP
17/SP
16/SP
15/SP
14/SP
13/SP
12/SP
11/SP
10/FA
10/SP
09/FA
08/SP
06/FA
05/FA"
AFRST-255,AFRST,AFRST,255,MARROW OF AFRICAN-AMERICAN LIT,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA
21/SP
20/SP
19/SP
18/FA
17/FA
16/FA
10/SP
09/FA
08/FA
08/SP
07/SP
06/FA
05/FA
04/FA
03/FA
02/FA
02/SP
01/FA
01/SP
99/FA
98/FA
97/FA
97/SP"
AFRST-259,AFRST,AFRST,259,HISTORY OF JAZZ SINCE THE 1950'S,I,1,"25/SP
20/SP
19/SP
18/SP
17/SP
15/FA
14/FA
14/SP
13/SP
12/SP
11/SP
10/SP
09/FA
08/FA
07/SP
03/FA
02/FA
02/SP
01/SP"
AFRST-260,AFRST,AFRST,260,HISTORY OF JAZZ TO THE 1950'S,I,1,"25/FA
25/SP
24/FA
24/SP
23/FA
23/SP
21/FA
20/FA
19/FA
18/FA
17/FA"
AFRST-262,AFRST,AFRST,262,AFRICAN-AMERICAN POPULAR MUSIC,I,1,"25/FA
24/FA
23/FA
22/FA
21/SP
20/SP
19/SP
18/SP
16/SP
15/SP
14/SP
13/SP
12/SP
11/SP
10/SP
08/SP
07/SP
06/SP
05/SP
04/SP
02/FA
01/FA
99/FA"
AFRST-265W,AFRST,AFRST,265W,RACISM & ANTI-RACISM,I,1,"25/FA
24/FA
23/FA
22/FA
21/FA"
AFRST-278,AFRST,AFRST,278,SOUTH AFRICA: 1652-1998,I,1,"21/SP
20/SP
19/SP
17/FA
16/FA
16/SP
15/SP
14/SP
10/FA
10/SP
09/FA
08/SP
07/SP
06/SP
04/SP
03/SP
02/SP
01/SP
00/SP
98/FA"
AFRST-279,AFRST,AFRST,279,ENVIRONMENTAL HISTORY IN MODERN AFRICA,I,1,"25/FA
24/FA"
AFRST-289,AFRST,AFRST,289,STUDENT ACTIVIST LEADERSHIP,I,0.5,"22/SP
21/SP
20/SP
19/SP
18/SP"
AFRST-303W,AFRST,AFRST,303W,BLACK POPULAR CULTURE,I,1,"10/SP
08/SP"
AFRST-306,AFRST,AFRST,306,"AFRO FUTURES, DECOLONIZATION",I,1,"25/SP
24/SP
23/SP
22/FA
21/FA
20/FA
19/FA
19/SP
18/FA
18/SP
17/FA
16/SP
15/SP"
AFRST-311W,AFRST,AFRST,311W,BLACK WOMEN'S EXPERIENCE IN THE U.S.,I,1,"17/FA
16/FA"
AFRST-313W,AFRST,AFRST,313W,GHANAIAN LITERATURE,I,1,"25/SP
22/SP
20/FA
19/FA
18/FA
17/FA
16/FA
15/FA"
AFRST-319W,AFRST,AFRST,319W,CRITICAL RACE THEORY,I,1,"20/FA
19/FA
19/SP
18/SP"
AFRST-328,AFRST,AFRST,328,GLOBAL GENDER/RACE/IMMIGRATION,I,1,"14/SP
13/SP
12/SP
11/SP"
AFRST-333W,AFRST,AFRST,333W,GEOGRAPHIES OF RACE AND GENDER,I,1,"22/FA
19/FA
18/FA"
AFRST-335W,AFRST,AFRST,335W,URBAN WORLDS,I,1,"25/SP
24/SP
23/SP
22/SP
21/SP
20/SP
19/SP
18/FA"
AFRST-336,AFRST,AFRST,336,CRITICAL CONSCIOUSNESS PRACTICUM,I,1,"25/FA
24/FA"
AFRST-340W,AFRST,AFRST,340W,RACE AND AMERICAN DEMOCRACY,I,1,"17/SP
16/SP
15/SP
14/SP
13/SP
12/SP
04/FA
03/FA
02/FA
02/SP
01/FA
01/SP
99/SP"
AFRST-341,AFRST,AFRST,341,LEADERSHIP FOR SOCIAL CHANGE,I,1,"25/SP
24/SP
23/SP"
